Time resolution is 1 ps
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk170_47700 at time 1618438 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk168_47698 at time 1628438 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk170_47700 at time 1638438 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk168_47698 at time 1648438 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk170_47700 at time 1658438 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk168_47698 at time 1668438 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk170_47700 at time 1678438 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk168_47698 at time 1688438 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk170_47700 at time 1698438 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk168_47698 at time 1708438 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk170_47700 at time 1718438 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk168_47698 at time 1728438 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk170_47700 at time 1738438 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk168_47698 at time 1748438 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk170_47700 at time 1758438 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /tb_top/dut/din_a_reg[5]_rep__0/TChk168_47698 at time 1768419 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk168_47698 at time 1768438 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /tb_top/dut/din_a_reg[6]/TChk170_47700 at time 1768452 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk170_47700 at time 1778438 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk168_47698 at time 1788438 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk170_47700 at time 1798438 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk168_47698 at time 1808438 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk170_47700 at time 1818438 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk168_47698 at time 1828438 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk170_47700 at time 1838438 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
